Summary,Sentiment,Summary_len
"[great, cooler, excel, air, flow, price, amaz, unbelievablejust, love]",positive,16
"[best, budget, two, fit, cooler, nice, cool]",positive,7
"[qualiti, good, power, air, decent]",positive,11
"[bad, product, fan]",negative,8
"[ok, ok, product]",neutral,3
"[cooler, realli, fantast, provid, good, air, flow, highli, recommend]",positive,12
"[good, product]",positive,3
[nice],positive,2
"[bad, cooler]",negative,3
[good],positive,2
"[beauti, product, good, materi, perfectli, work]",positive,7
[awesom],positive,1
[good],positive,1
"[wonder, product, must, buy]",positive,4
"[nice, air, cooler, smart, cool, breez, produc]",positive,7
[awsm],positive,1
"[nice, product]",positive,2
"[great, cooler]",positive,2
"[nice, product]",positive,2
[good],positive,1
"[nice, product]",positive,3
"[good, product]",positive,2
"[nice, product, reason, price]",positive,6
[like],positive,3
[goodd],positive,2
"[good, product]",positive,2
"[good, product, kawaleti]",positive,3
"[good, cooler, amaz, beauti, design, afford, price]",positive,8
"[use, sinc, 3month, great, experi]",positive,5
"[good, perform, nice, look]",positive,6
"[product, good, strong, thrust, air, flow, must, buy]",positive,11
[good],positive,2
"[bad, qualiti]",negative,2
"[nice, product]",positive,3
"[soundless, product, low, price, compani]",positive,8
[nice],positive,1
"[best, poduct, bought, flifkart, work, superb, like, ac, price, also, reason, rs, eight, thousand, six, hundr, ninetyeight]",positive,26
"[cooler, big, wide, maharaja, brand, trust, everi, thing, good, cooler, creat, less, nois, thing, motor, power, even, high, speed, rest, thing, good, ye, one, middl, size, room, ok]",positive,46
"[one, best, air, cooler, reason, price, ever, seen, ventil, room, must, proper, cool, size, quit, big, hope, creat, space, problem, season, air, suppli, good, one, essenti, part, air, cooler, wool, wood, pad, help, make, super, cool, afteral, thank, maharaja, compani, make, product, afford, reason, price]",positive,85
"[awesom, air, cooleri, look, cooler, rang, fulfil, requir, follow, features1, great, air, capac, five, thousand, m3hr, two, come, larg, 65litr, tank, run, overnight, ease3, great, built, shockproof, reliabl, material4, stop, beast, night, massiv, cool, capabilityon, small, concern, mine, sure, dealbreak, produc]",positive,87
